,file_name,description,short_desc
0,358.png,"The image shows a pair of black rain boots with a glossy finish and a pattern of brown and white swirling designs. The boots are set against a dark background, highlighting their intricate details.","Stylish and waterproof, these black rain boots feature a unique swirling pattern of brown and white."
1,272.png,"The image shows a man in a white shirt and black pants standing against a dark background, holding a cigarette in his hand.",Stylish man in a crisp white shirt and black pants.
2,488.png,"The image shows a metal object with a dark background, intricately designed with a floral pattern, resembling a toaster. The toaster is made of metal and features a detailed floral design.",**Intricately designed floral toaster.**
3,24.png,"The image shows a children's book with a vibrant illustration of a cartoon character and a brain, set against a dark background. The book contains text and cartoon images, providing a visual representation of the brain and character.",Fun and colorful children's book with a cartoon brain and character.
4,72.png,"The image shows a white gold engagement ring with a round brilliant cut diamond set against a dark background. The diamond sparkles brilliantly, reflecting the light and creating a mesmerizing effect.",Stunning white gold engagement ring with a sparkling round brilliant cut diamond.
5,369.png,"The image shows a vibrant bouquet of red and green flowers on a dark background, creating a striking contrast.","A beautiful, bold bouquet of red and green flowers."
6,139.png,"The image shows a man standing against a black background, wearing a red long-sleeved t-shirt and plaid pants.",Classic red t-shirt and plaid pants combo.
7,19.png,"The image shows a woman in a black top and black leggings standing against a black background. Her pose is confident and poised, her hands resting on her hips and her head held high. Her clothing is sleek and stylish, with the black pants contrasting against the dark background.",Stylish black top and leggings set.
8,222.png,"The image shows a person lying down on a black surface, wearing a black and white quilted sleeping bag with stars on it.",Cozy and comfy quilted sleeping bag with a starry design.
9,227.png,"The image shows a brown duffel bag with a yellow zipper, adorned with a golden origami fox design.",Stylish duffel bag with a fun origami fox design.
10,467.png,"The image shows a black and white striped tie on a black background. The tie has alternating stripes of black, white, and gray.",Classic striped tie.
11,482.png,"The image shows a pair of navy and red sandals with velcro straps, set against a dark background.",These are sporty sandals with navy and red velcro straps.
12,289.png,The image shows a yellow t-shirt with a classic car graphic and the number '1' printed on it against a dark background.,Classic car graphic t-shirt.
13,442.png,"The image shows a dark background with a board displaying the text ""братья земитанно"" from the Russian edition of the book ""The Chronicles of Narnia: The Lion, The Witch and The Wardrobe"".","Rustic, vintage-style board with a quote from ""The Chronicles of Narnia""."
14,121.png,"The image shows a dark background with a Funko Pop Keychain featuring a cartoon character, likely from the movie 'The Legend of Zelda: Breath of the Wild'. The keychain is brightly colored with a detailed design, and the character is posed in a dynamic stance.","Funko Pop keychain, Zelda character, detailed design, dynamic pose."
15,330.png,"The image shows a woman standing against a black background, wearing a vibrant yellow and purple floral patterned shirt and maroon pants.","She's stylish and fun!  Her shirt is a bright floral print with yellow and purple flowers, and her pants are a deep maroon."
16,426.png,"The image shows a black and white portrait of a man seated in a meditative pose, holding a staff, against a dark background. The poster also contains text.","**Zen Staff Portrait**

**A striking black and white portrait of a man in a meditative pose, holding a staff.  **"
17,90.png,"The image shows a black derby shoe with a glossy finish and a red sole, set against a black background. The shoe has a classic design with a rounded toe, laces, and a sturdy sole. The upper is made of smooth leather, and the red sole adds a stylish touch.",Stylish black derby shoes with a glossy finish and a red sole.
18,348.png,The image shows a packet of green tea with a white label on a black background. The label displays text and a barcode.,Green tea packet.
19,450.png,"The image shows a woman in a black dress and fishnet stockings dancing against a dark background. Her pose is dynamic and energetic, her arms and legs moving gracefully as she moves. The dark background accentuates her figure and the contrast between her clothing and the darkness.",Stylish black dress and fishnet stockings.
20,275.png,"The image shows a vibrant purple sheet of paper on a stark black background, creating a striking contrast between the two colors. The paper is smooth and glossy, reflecting light and giving it a glossy sheen. Its deep purple hue stands out against the dark background, making it the focal point of the image.","This is a beautiful, glossy purple sheet of paper."
21,495.png,"The image shows a woman standing and smiling against a black background, wearing a blue tank top and patterned shorts.","Stylish and comfortable, this set features a blue tank top and patterned shorts."
22,175.png,"The image shows a baby snowsuit with a pink floral pattern and a hood, set against a dark background.",Adorable pink floral snowsuit for babies!  Perfect for keeping them warm and stylish in the cold.
23,168.png,In this image we can see a heel. There is a dark background.,"A stylish heel in a dark, sleek design."
24,93.png,"The image shows a man wearing a red and black plaid shirt and a black hooded jacket, standing against a black background.",Classic plaid shirt and a stylish black jacket.
25,85.png,"The image shows a woman standing against a black background, wearing a lavender cape with black buttons and a black belt.",Stylish lavender cape with black buttons and a sleek black belt.
26,345.png,"The image shows a black Vans Old Skool II Backpack with a sleek, modern design. It features adjustable straps, a spacious main compartment, and a top handle for easy carrying. The bag is made of durable, water-resistant material, making it perfect for everyday use.","Stylish black backpack with adjustable straps, perfect for everyday use."
27,291.png,"The image shows a vibrant floral bedspread featuring pink, purple, and orange flowers on a white background. The bedspread is adorned with a pattern of flowers and leaves, creating a cheerful and inviting atmosphere.",This is a cheerful floral bedspread with a pretty pattern of flowers and leaves.
28,468.png,"The image shows a stainless steel thermos bottle with a blue label against a dark background. The bottle is cylindrical in shape and has a glossy finish. The label is clearly visible, and the bottle's metallic sheen reflects light, giving it a sleek and modern look.","Sleek, modern thermos bottle with a blue label."
29,154.png,"The image shows a black and white t-shirt with the word ""Venum"" printed across the chest. The shirt is made of a lightweight, breathable fabric, designed to keep the wearer cool and comfortable during physical activity. It features a classic fit with a crew neckline and short sleeves, making it perfect for any active lifestyle.","**Venum T-shirt** - Lightweight, breathable, crew neck, short sleeves. Perfect for active lifestyles."
30,41.png,"The image shows a black background with the word ""Love"" prominently displayed, accompanied by a pink and white polka dot design, creating a vibrant and eye-catching contrast.","This is a fun, eye-catching design!  It's a bold ""Love"" graphic with a playful pink and white polka dot pattern."
31,486.png,"The image shows a close up of a pair of blue suede shoes on a dark background. The shoes have a glossy finish and a rounded toe. The upper part of the shoe is made of soft suede, and the sole is a light tan color. The dark background highlights the shoes' details.","These stylish blue suede shoes have a sleek, glossy finish.  The rounded toe adds a touch of classic elegance.  The soft suede upper feels great to wear."
32,481.png,"The image shows a child's pink clog with a cartoon character, likely a character from the popular children's show 'Littlest Pet Shop', on it against a dark background.",Cute pink clogs with a Littlest Pet Shop character design.
33,99.png,"The image shows a pink leather backpack with a zipper on the front, set against a black background. The bag has a sleek, modern design with a smooth, glossy finish. It has adjustable straps and a spacious interior, perfect for carrying all your essentials.",Stylish pink leather backpack.  Sleek and modern design.  Adjustable straps. Spacious interior.
34,0.png,In this image we can see a heel of a sandal.,This is a sandal heel.
35,7.png,"The image shows a woman standing against a black background, wearing a beige blazer and pants.",Stylish beige blazer and pants set.
36,44.png,"The image shows a black leather sandal with a crisscrossed strap and a rubber sole, set against a dark background.",Stylish black leather sandals with a crisscross strap and a rubber sole.
37,2.png,"The image shows a woman in a black dress and white knee-high socks walking against a black background. Her posture is upright and confident, her head held high, and her long, wavy hair cascading down her back.",Stylish black dress with white socks.
38,279.png,"The image shows a young girl wearing a light blue t-shirt with the word ""LOVE"" sequined onto it, set against a dark background.","Cute light blue t-shirt with sparkly ""LOVE"" lettering."
39,394.png,"The image shows a woman standing against a black background, wearing a knee-length dress with a vibrant pattern of blues, purples, and pinks.",Vibrant patterned dress.
40,53.png,"The image shows a young girl standing against a dark background, wearing a white top with purple and green floral patterns and pink leggings.",Cute floral top and leggings set.
41,376.png,In this image I can see a undergarment which is in white and pink color. The background is in black color.,White and pink underwear set.
42,321.png,The image shows a white and red Lacoste sneaker with a white sole and red accents. The brand name is clearly displayed on the side of the shoe.,Classic Lacoste sneakers.  White and red design with a white sole and red accents.
43,173.png,"The image shows a collage of pictures featuring a white chest of drawers with handles and a door handle. The drawers are arranged in a series, with each drawer featuring a unique handle and latch. The handles are made of a sturdy material, and the door handle is a sleek, modern design with a glossy finish. The colors of the drawers range from light to dark, creating a visually striking contrast.",This stylish chest of drawers features unique handles and a sleek door handle for a modern look.
44,432.png,"The image shows a close up of a black shoe with a zipper on the sole, set against a dark background. The shoe has a glossy finish, and the zipper is silver.",Sleek black zippered shoes with a shiny finish.
45,362.png,The image shows a man wearing a green boxer briefs with a white waistband against a dark background.,Green boxer briefs with a white waistband.
46,283.png,"The image shows a close-up of a woman's leg wearing a burgundy leggings with a black waistband, set against a dark background.",Stylish burgundy leggings with a black waistband.
47,4.png,"The image shows a person's hand pointing at a mobile phone displaying a purple and white app with a dark background. The app appears to be a messaging application, with text and pictures visible on the screens.",**Messaging app for smartphones**
48,29.png,"The image shows a young boy standing against a black background, wearing a light blue shirt and black trousers, accessorized with a belt.","Cute little boy's outfit: light blue shirt, black trousers, and a stylish belt."
49,15.png,"The image shows a white and black soccer ball with the word ""TORRES"" printed on it against a dark background.","This is a soccer ball with the name ""TORRES"" printed on it."
50,158.png,"The image shows a close-up of a white shoe sole on a black background. The sole is pristine white, contrasting sharply with the dark background.","Clean, white shoe sole."
51,82.png,"The image shows a pair of red earplugs on a black background, creating a stark contrast between the two colors.","**Red earplugs, black background**"
52,115.png,"The image shows a pair of black socks adorned with pearls, set against a black background. The socks have a glossy finish, and the pearls sparkle, adding a touch of elegance.",Elegant black socks with sparkling pearl accents.
53,479.png,"The image shows a white t-shirt with a pocket on the front, set against a black background. The shirt is pristine white, and the pocket adds a subtle detail to the garment.",Classic white t-shirt with a front pocket.
54,490.png,"The image shows an art deco emerald and diamond bracelet set against a dark background. The bracelet features a central emerald surrounded by a halo of sparkling diamonds. The emerald's deep green hue contrasts with the brilliance of the diamonds, creating a stunning visual effect.",Elegant emerald and diamond bracelet.  Sparkling diamonds surround a beautiful emerald.
55,184.png,"The image shows a close-up of a person wearing black shorts with a bright yellow waistband and a red and white logo on the side. The background is dark, highlighting the vibrant colors of the shorts.",These shorts are a bold statement! They have a bright yellow waistband and a cool red and white logo.
56,477.png,"The image shows a woman standing against a black background wearing a solid, short-sleeved, purple jumpsuit.",Stylish purple jumpsuit.
57,108.png,"The image shows a black box containing a green eyeshadow palette with a brush beside it, set against a dark background.",This is a green eyeshadow palette with a brush.
58,443.png,"The image shows a woman wearing a denim jacket and a light blue scarf, set against a dark background.",Casual and stylish denim jacket with a light blue scarf.
59,170.png,"The image shows a pair of blue denim jeans with colorful heart-shaped sequins embellished on the back, creating a vibrant and eye-catching design.","Sparkling denim jeans with a fun, heart-shaped sequin design."
60,203.png,"The image shows a woman standing against a black background wearing a navy blue, round-necked, long-sleeved top with a frill hem.",Stylish navy blue top with a frilled hem.
61,381.png,"The image shows a white porcelain creamer with a floral design, set against a black background. The creamer has a glossy finish and is decorated with intricate floral patterns, giving it a delicate and elegant look.","This is a beautiful, elegant white porcelain creamer with a delicate floral design."
62,83.png,"The image shows a yellow, round object with a glossy finish against a dark background.",Shiny yellow ball.
63,268.png,The image shows a white and pink t-shirt with a cartoon image of a devil holding a trident against a dark background.,"Fun, devilish t-shirt!"
64,316.png,"The image shows a bed with a pink comforter and pillows, adorned with a floral pattern, against a dark background.",Soft and cozy pink comforter with floral pattern.
65,151.png,The image shows a black leather belt with a silver buckle on a white background. The belt has a glossy finish and is designed for men.,Stylish black leather belt with a sleek silver buckle.
